Product Name,Category,List_Price,Special_price,Description,Rating,Img_url,Product_url
Glider Bolster Pediatric Swing,Pediatric Swings and Swing Frames,"$1,380.27","$1,037.80","Southpaw's Glider Bolster provides extra stability during swing therapy to clients who are larger and need more postural support. Made with high-density foam padding on one side and low-density foam padding on the other, the Bolster Therapy Swing can be simply flipped over, depending on the amount of padding needed to accommodate various postural ability levels.

The heavily padded vinyl bolster swing can accommodate many clients at once, and the therapist can also be safely supported on the swing in order to provide extra facilitation. The Glider Bolster can be hung from your choice of 2 or 4 points and moved in a variety of ways, including in gentle arcs or rocking, depending on therapeutic needs. Choose from a Standard or Mini Glider model. Shipping is free for continental US only. Made in the USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/glider~3.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/glider-bolster-38055.html
Itinerant Indoor Therapy Swing and Frame,Pediatric Swings and Swing Frames Accessories,"$2,394.11","$1,800.08","The Itinerant Frame and Swing is a portable indoor swing therapy suspension system for on-the-go therapists. Its compact size fits in almost any area, and its lightweight 28 lb. size makes it possible to easily carry the swing and frame to and from a vehicle. The Itinerant Frame and Swing comes complete with a built-in safety rotational device using the lightest, strongest material available. You may purchase the entire kit or a replacement frame or swing individually. NOTE: Only the listed Itinerant Platform Swing will work with the Itinerant Frame. Shipping fees listed are for continental US only.

You can replace the carpet with a vinyl pad (sold separately, below). A vinyl pad is easier to clean and disinfect between clients. The vinyl pad attaches to the swing with velcro, and it lays on top of the swing's platform.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/spw-7250-itinerant frame and swing_pediatric swings and swing frames_vestibular.jpg&quality=80&newwidth=422,https://www.rehabmart.com/product/itinerant-frame-and-swing-37837.html
Pediatric Flexion Disc Sensory Therapy Swing,Pediatric Swings and Swing Frames,$788.03,$592.50,"Southpaw's Pediatric Flexion Disc Sensory Therapy Swing provides rotational and orbital vestibular stimulation. Designed with a soft carpeted disc that the client sits on and a soft foam center post for holding onto, the swing can move in a gentle swinging motion, or for more vigorous movement, the therapy swing disc can be shaken or rocked. The Pediatric Flexion Disc Sensory Therapy Swing also has a padded edge for safety. Choose from a larger version Flexion Board that is more than half as big as the Standard version Flexion Disc. A detachable control strap and Safety Snap for safe securement on the swing frame is included.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/flexion.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/flexion-disc-swing-37855.html
Linear Balance Glider for Vestibular Stimulation,Vestibular,$806.58,$606.45,"Southpaw's Linear Balance Glider for Vestibular Stimulation can be used during occupational therapy to improve balance, bilateral coordination, and weight shifting abilities. Particularly soothing for clients with Sensory Processing Disorder (SPD), the therapy swing uses linear motion to provide vestibular stimulation to the inner ear. The swing includes a removable carpetcovering for extra comfort, suspension ropes, stabilizing rungs, pull handles, and Safety Snaps for mounting to the swing attachment system.  Choose from a Standard or Adult Linear Balance Glider Swing model. Shipping is free for continental US only. Made in USA.

You can replace the carpet with a vinyl pad (sold separately, below). A vinyl pad is easier to clean and disinfect between clients. The vinyl pad attaches to the swing with velcro, and it lays on top of the swing's platform.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/linear_glider_2.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/linear-glider-37848.html
Swing Set Cuddle Swing,Pediatric Swings and Swing Frames,$398.91,$278.96,"Introducing the Southpaw Cuddle Swing, the ultimate sensory experience for children seeking comfort and relaxation. Crafted with exceptional quality and designed with their needs in mind, this swing provides a cozy and secure space for soothing and therapeutic play. Its soft, durable fabric cocoon envelops children in a gentle embrace, promoting a sense of calm and well-being. Whether your child requires sensory integration, vestibular stimulation, or simply a comforting retreat, the Cuddle Swing delivers on all fronts. The adjustable straps ensure a perfect fit for users of different sizes, while the sturdy construction guarantees long-lasting use. Transform any environment into a haven of comfort and serenity with the Southpaw Cuddle Swing, where relaxation and sensory exploration intertwine for endless moments of joy.
		
 This product was featured in the following articles: The Occupational Therapist's Master Guide for Children's Adaptive Equipment5 Best Vestibular Therapy Tools to Improve Balance & Dizziness

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional delay due to global shortages: up to a 6-8 Week lead time before your product ships.

Note: This product is for sale in the United States only and is ineligible for International Shipping.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/Vestibular_Cuddle_Swing.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/cuddle-swing1-37851.html
Vertical Stimulation Device for Swing Therapy,Pediatric Swings and Swing Frames Accessories,$497.48,$347.89,"The Vertical Stimulation Device for Swing Therapy is designed to provide excellent proprioceptive and vestibular stimulation by allowing controlled vertical movement and bouncing when used with a swing. The industrial quality elastic loops provide safe and secure active swing movement for a total working weight capacity of 240-pounds. The device attaches to a swing to allow the user free and safe 360-degree movement and up-and-down bouncing while swinging.

Shipping is free for continental US only.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/170~1.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/vertical-stimulation-device-37838.html
Swing Set Trapeze Bars,Pediatric Swings and Swing Frames,$199.60,$139.58,"Trapeze Bar allows clients to work on their upper extremity strengthening, increase their flexion posture, and improve their motor planning skills. It offers a fun way to challenge many of their over-all development skills.  Shipping is free for continental US only. Made in USA.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/150.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/trapeze-bars-37870.html
Vestibular Therapy Air Mat for Sensory Stimulation,Vestibular,$301.37,$210.75,"Introducing Southpaw's Vestibular Therapy Air Mat for Sensory Stimulation, a durable vinyl mat designed to provide therapeutic benefits and enhance sensory integration. 

This mat offers a safe and engaging platform for various activities that promote vestibular and proprioceptive stimulation, balance, and motor tasks. The Air Mat can be easily inflated and deflated using the Inflator/Deflator Pump (sold separately), ensuring convenience and portability for use in different environments. Ideal for postural adjustments, motor planning, and sensory stimulation, the Vestibular Therapy Air Mat is a valuable tool for therapists and clients. Embark on a therapeutic journey with Southpaw's Vestibular Therapy Air Mat and discover the benefits of sensory stimulation in a fun way.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/229.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/air-mats-37828.html
Climbing Ladder for Coordination and Balance Therapy,Pediatric Balance,$394.78,$276.07,"Southpaw's Climbing Ladders come in three configurations to suit a variety of therapy needs, including bilateral coordination, upper body strengthening, and balance. The ladders are made for small hands, with 1.25"" diameter rungs. Durable rope and hardwood help to ensure durability. The Climbing Ladder helps the vestibular system which contributes to the body's balance and spatial orientation. The ladders are available in three configurations, single rung, tower, and ladder wall.
		
 This product was featured in the following articles: The Occupational Therapist's Master Guide for Children's Adaptive Equipment

Notice: This unique custom fabricated item is made-to-order using a ""Just in Time"" manufacturing process. This is designed to keep your cost lower, but may require an additional delay due to global shortages: up to a 6-8 Week lead time before your product ships.

Note: This product is for sale in the United States only and is ineligible for International Shipping.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/sp_1200_04_10.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/single-rung-climbing-ladder-38059.html
Flying Purple People Eater Stand-Up Therapy Swing,Pediatric Swings and Swing Frames,$828.86,$623.20,"Southpaw's Flying Purple People Eater Stand-Up Therapy Swing uses an enclosed design to block out stimulation during vestibular swing therapy. Made with purple fabric on all 3 sides and a cut-out at the front so children can see out, the Purple People Eater Therapy Swing includes a fabric-covered bottom board that attaches with hook-and-loop material to the bottom of the swing. This firm foundation allows the client to stand, sit, or kneel during therapy. Therapists can fill up the bottom of the swing with tactile-rich items such as chunks of foam or therapy balls for more stimulation, comforting, and positional needs that provide proprioceptive input.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/125.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/flying-purple-people-eater-37846.html
Not-So-Infant Pediatric Sensory Therapy Swing,Pediatric Swings and Swing Frames,$750.92,$564.60,"Southpaw's Not-So-Infant Therapy Swing provides the same kind of support as an infant swing but can accommodate larger children. Designed to support clients weighing up to 200 lbs., this swing is ideal for older children that need vestibular stimulation as well as extra positional support. The Not-So-Infant Therapy Swing is made with 3/4"" Birch Plywood, heavy duty rope, webbing, and material that is durable and can withstand heavy use in occupational therapy settings.  The one-point suspension therapy swing can also be used with the Southpaw's Vertical Stimulation Device to add a controlled bounce and vertical movement.  Shipping is free for continental US only. The Not-So-Infant Therapy Swing has a lead time of 2-3 weeks.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/not1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/notsoinfant-swing-37866.html
Frog Pediatric Vertical Stimulation Therapy Swing,Pediatric Swings and Swing Frames,$799.17,$600.88,"Southpaw's Frog Pediatric Vertical Stimulation Therapy Swing works well for clients who don't need extra positional support but can benefit from vestibular and proprioceptive stimulation. Designed with a standard strap swing seat, the therapy swing features a wooden crossbeam across the top that holds the swing ropes and swing attachment snaps in place for securement. The Frog Pediatric Vertical Stimulation Therapy Swing includes 3 Southpaw Vertical Stimulation Loops that when used together can support higher weight capacities and when taken away for greater bounce abilities.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/frog1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/frog-swing2-37868.html
Sling Swing Vestibular Therapy Suspension Hammock,Pediatric Swings and Swing Frames,$348.93,$244.01,"The Sling Swing from Southpaw is a single-point hammock that helps to provide vestibular stimulation and full body support. Made of durable vinyl material that won't bunch or gather, the therapy swing remains secure and comfortable. The Sling Swing works like a net, but provides more security and reduces worry about tangling, perfect for those with less flexibility. By increasing spatial awareness, balance, and posture is improved.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/SP_133_02_15.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/sling-swing-38056.html
Pediatric Bungee Trapeze Bar Swing,Pediatric Swings and Swing Frames,$394.78,$276.07,"Bungee Trapeze Bar is challenging as the bungee adds an element requiring more focus than physical strength.This piece of equipment comes as an idea from a therapist in New York. Like any Trapeze Swing, the Bungee Trapeze Swing addresses a child's upper extremity strengthening, core stability, motor planning and bilateral coordination.  Shipping is free for continental US only. Made in USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/151.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/bungee-trapeze-bar-37843.html
Adult Sensory Integration Sling Swing,Pediatric Swings and Swing Frames,$481.27,$336.55,"The Adult Sensory Integration Sling Swing is designed to be an indoor use, single-point suspended hammock swing made of soft nylon knit fabric. The swing allows the user to change positions from prone to seated while providing both comfort and support in a flexion position as well as providing the user vestibular stimulation. The swing will not become tangled, bunch up or gather together with the weight of the user.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/SP_133_02_15~1.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/adult-sling-swing-38060.html
Prefab Joist Installation Kit,Vestibular,$628.91,$439.80,The Prefab Joist Installation Kit is designed to enhance vestibular rehabilitation therapy (VRT) to help children use and enjoy a swing and other movement-related devices. The joist installation kit includes all the hardware needed for an individual to safely install an eyebolt in a prefabricated metal joist located over a dropped ceiling. Included is a redesigned rod end that will help prolong the life of the suspension hardware while allowing more of a fluid movement of the connected vestibular device.,,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/7051-rehabmart.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/prefab-joist-installation-kit-42201.html
Buddy Boat Full Body Socialization Swing,Pediatric Swings and Swing Frames,"$1,262.29",$949.09,"Southpaw's Buddy Boat Full Body Socialization Swing, which can be used with multiple clients at once, instills a sense of security and fun in children who would normally be apprehensive about their feet being off the floor during swing therapy. The swing features a versatile design that allows for positioning in a seated position or fully stretched out on the belly or back.

With the ability to raise and lower the sides, different developmental abilities can be accommodated, and a clear vinyl window allows for children to see the therapist and vice versa. Additional positional support can be added, making this therapeutic swing ideal for exposing children with decreased motor control to vestibular input. Colored balls are sold separately. Shipping is free for continental US only. Made in the USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/buddy.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/buddy-boat-swing-39709.html
3-in-1 Versatile Barrel Swings for Play Therapy,Pediatric Swings and Swing Frames,"$1,524.06","$1,145.91","Southpaw's 3-in-1 Versatile Barrel Swings for Play Therapy can be configured as a barrel swing, trapeze, or floor barrel. Made with a strong corrugated structure that supports up to 350 lbs. of weight, the barrel is padded with comfortable foam on the interior and exterior and covered in vinyl that's easy to wipe-down for cleaning purposes. The swing can be suspended from your choice of one or two points and is available in a small or large size. Shipping is free for continental US only. Made in USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/barrel1.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/barrel-swings-37852.html
Itinerant Platform Swing Therapist Kit 2,Pediatric Swings and Swing Frames,"$2,103.00","$1,581.20","Southpaw's Itinerant Platform Swing Therapist Kit 2 is ideal for therapists operating a mobile therapy practice.  The convenient kit includes everything needed for conducting an exercise-based physical therapy session that focuses on vestibular rehabilitation, helping to improve balance. The Itinerant Platform Swing Therapist Kit 2 includes an Itinerant Platform Swing, a Standard Dual Swing, a Trapeze Bar, and a Sling Swing, all of which help children process sensory input. Each swing's smooth, swaying motion, coupled with the pull of gravity, not only helps with restoring equilibrium, but it also helps children to relax and unwind. Shipping is free for continental US only. Made in the USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/sp_7280_01_17.jpg&quality=80&newwidth=480,https://www.rehabmart.com/product/itinerant-platform-swing-therapist-kit-37839.html
Wee Trapeze Bar Pediatric Gymnastics Equipment,Pediatric Swings and Swing Frames,$182.31,$127.49,"Wee Trapeze Bar is shorter, with a smaller diameter for smaller hands' grasp. Shipping fees listed are for continental US only. The Wee Trapeze Bar is made in the USA.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/153.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/wee-trapeze-bar-37844.html
Hausmann  Powder Board,Powder Boards,$668.66,$502.75,The Hausmann Powder Board is an ideal tool for range of motion exercises. This durable board is resistant to scratches. It is finished in a smooth oak laminate with sturdy 3mm edging.,4 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/hausmann_powder_board.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/hausmann-powder-board-12666.html
Powder Board Deluxe Arm Skate Board ROM Table with Figure-8 Pattern Deluxe,Powder Boards,$786.62,$591.44,"The Powder Board Deluxe Arm Skate Board ROM Table is an inventive tool that is designed to offer users a dynamic range of motion (ROM) exercise that helps to improve the stability, strength, and mobility of joints across the arm. The table uses a counterweight and padded brace on a track system to force the user to work their muscles through repetitive exercise across the tabletop. This type of ROM exercise makes the board an ideal tool for those recovering from injuries or procedures to the shoulder.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/Powder_Board_Deluxe_Skate_Board_ROM_Table_with_Figure-8_Pattern_Deluxe.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/powder-board-rom-table-deluxe-skate-board-50391.html
Bailey Sturdy Powder Board,Powder Boards,$683.97,$478.30,"These Sturdy Powder Boards are specially created for range of motion therapy involving the hands, feet, and arms. Choose between the Standard or Deluxe model, both of which have a smooth surface to facilitate unobstructed therapy and provide the greatest range of motion possible. Standard boards have a surface area of 29 x 40, and are unlaminated, while the Deluxe board has the same surface area but is laminated for better grip and a scratch-resistant finish. Both the Standard and Deluxe model boards have collapsible metal legs, making them temporary units that are easy to store and carry for therapists on the go.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/BMC- POWDER BOARD.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/powder-board-35406.html
Rifton Z220 Medium Rifton Wave Bath Chair,Pediatric Bath Chairs,$957.60,$720.00,"When shopping for a versatile bathing chair, the Medium Rifton Wave Bath Chair allows users to choose an additional bath stand and/or shower stand which will allow caregivers to a stable, lifted base for washing. The pediatric shower chair comes equipped with the option of one chest strap system, standard or lateral positioning. The fabric of the Medium Rifton Wave Bath Chair consists of breathable materials, allowing water to leak through without causing a sag in the seat.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/img_5620.jpg&quality=80&newwidth=480,https://www.rehabmart.com/product/rifton-medium-blue-wave-bath-chair-26385.html
Ultima Stainless Steel and Mesh Shower and Bath Chair,Pediatric Bath Chairs,"$1,016.76",$764.48,"The Ultima Stainless Steel Bath Chair is an assistive device for those who have difficulty bathing independently, and is designed to be both safe and comfortable. This bath chair features a high-grade stainless steel frame as well as a soft ComfortMesh seat cover. In addition to the frame's sturdy base, the seat comes with two positioning belts for added security. With the independently adjustable seat, back, and leg angles, the chair enables people with disabilities to enjoy their bathing experience.",5 out of 5 stars,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/bcu-8620m-bb-belts-e1501546129193.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/ultima-stainless-steel-bath-chair-20683.html
Premium Plastic Height-Adjustable Bath Chair,Bath Chairs,$143.76,$93.35,"The Premium Plastic height-Adjustable Bath Chair is made entirely out of lightweight plastic that prevents unwanted buildup and corrosion and is easy to transport. The backrest and arms with comfort grips are all detachable to suit user preference or need, and in addition to the detachable legs, allow the chair to be stored or transported compactly. All four legs adjust in half-inch increments independently from one another, accommodating uneven surfaces as well as user height and tub style. The ergonomically-designed seat features strategically-placed holes to allow for drainage and prevent water pooling.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/1065204.jpg&newwidth=540&quality=80,https://www.rehabmart.com/product/premium-plastic-heightadjustable-bath-chair-47757.html
Bathing System Chair with Bidet for Assisted Seated Bathing - PreserveTech Aquachair,Bath Chairs,$463.39,$324.05,"The PreserveTech Aquachair Bathing System with Bidet is a thoughtfully designed shower chair that combines functionality and comfort for those needing assistance during bathing. Equipped with a unique in-seat bidet and handheld sprayer, it offers easy access to cleansing without requiring standing, making it ideal for individuals with limited mobility. The chair features adjustable seat height to find the perfect position, along with a non-slip, padded seat and backrest for enhanced support. Its rust-resistant aluminum frame holds up to 350 pounds, providing reliable durability and security. Non-skid tips on the chair legs ensure stability on wet surfaces, while anti-microbial treatment on the seat and backrest helps maintain hygiene by preventing odor and stain buildup.",,//image.rehabmart.com/include-mt/img-resize.asp?output=webp&path=/imagesfromrd/0~41.jpg&quality=80&newwidth=540,https://www.rehabmart.com/product/preservetech-aquachair-bathing-system-with-bidet-for-assisted-seated-bathing-55504.html
